ID,effect,group,term,estimate,std.error,statistic,df,p.value,Outcome_Variable,Avg_R_squared,Avg_RMSE,BIC,p.value.adjusted
9,fixed,,new_injury_severity2:months_since_bl_exam,-0.0005062697722975254,0.00017008029310118717,-2.976651574773136,2890.111382163961,0.0029383330026732,Left Caudate,0.2342761581092848,0.0512426904425925,-13363.397112469527,0.0112267061364867
30,fixed,,new_injury_severity2,-0.0961607007840641,0.0391241124820786,-2.457837243671969,784.3807767268357,0.014192916593903,Left Ventral DC,0.5625695251629228,0.2922466349185472,-2730.8590337341006,0.0458277306887472
31,fixed,,new_injury_severity2,-0.0105833701623068,0.0031147025487112,-3.3978750769270083,801.5510727082934,0.0007126146176314205,Optic Chiasm,0.0534807061350743,0.0235662699147375,-20300.59267349994,0.002977427667431
37,fixed,,new_injury_severity2:months_since_bl_exam,0.00041232854387341614,0.00013068267142826744,3.155189126201372,2791.6602375959565,0.0016210105678258,Right ACgG anterior cingulate gyrus,0.2122023033258577,0.0868071416748945,-13980.410967330105,0.0064292089328569
41,fixed,,new_injury_severity2,-0.020052590272666,0.0077664088016721,-2.581964300971208,784.6318437928342,0.0100041787493979,Right AOrG anterior orbital gyrus,0.3595684885255558,0.0576208060049933,-14023.249938377385,0.0338159267276945
67,fixed,,new_injury_severity2,-0.0203820114731239,0.0082105134510583,-2.482428363904163,797.9367318839088,0.0132536557145058,Right LOrG lateral orbital gyrus,0.3612886628333597,0.0611463946578836,-13182.335917945236,0.0433641550037922
69,fixed,,new_injury_severity2:months_since_bl_exam,0.0004377181336810079,0.0001761136817808384,2.485429463826204,2785.984620731708,0.0129977649508339,Right MCgG middle cingulate gyrus,0.3485569427221193,0.0999021892333038,-12081.853542343031,0.042769600033345
70,fixed,,new_injury_severity2,-0.0285497681964392,0.0117666451426461,-2.4263303473787565,749.6100959706203,0.0154872579438963,Left MCgG middle cingulate gyrus,0.381963881738774,0.0867611332654384,-12956.889745758976,0.0490778647005903
88,fixed,,new_injury_severity2,-0.0932148821425206,0.0308242589554182,-3.0240753647099634,785.2420917198565,0.0025751620733716,Left OCP occipital pole,0.3155902638090704,0.2289446170646064,-4675.641400299941,0.0099403375507103
89,fixed,,new_injury_severity2:months_since_bl_exam,0.0010513267657767,0.0003669383628065975,2.865131783265802,2806.2673858814383,0.004199356460697,Right OFuG occipital fusiform gyrus,0.4457285663441805,0.1995945715377159,-7008.8934161904845,0.0155691555736513
105,fixed,,new_injury_severity2,-0.1792869041296982,0.0578227662405839,-3.1006282782068384,759.7606210648083,0.0020024385316034,Right PoG postcentral gyrus,0.488345707509229,0.4263643234041068,-796.7447412681606,0.0078099265806403
106,fixed,,new_injury_severity2,-0.1667379156699043,0.0570966619607944,-2.920274319791151,766.6292240234521,0.0035998246515596,Left PoG postcentral gyrus,0.5217361458760442,0.420487328142767,-736.7883710222793,0.0135065420926518
